200 6
Crude_Oil,Interest_Rate,USD_INR,Sensex,CPI,USD_Index,Gold_Price
1455.51,8.0,46.318297,3711.02,37.23,116.65,4538
1512.47,8.0,46.783613,3997.99,37.31,115.24,4483
1178.11,8.0,46.745856,3972.12,36.98,109.56,4541
1208.18,8.0,46.536033,4326.72,36.9,110.52,4466
1267.18,7.5,46.514595,4247.04,36.73,112.01,4370
1166.45,7.0,46.609354,3604.38,36.9,117.37,4269
1203.33,7.0,46.75567,3519.16,37.15,115.85,4267
1292.57,7.0,46.898772,3631.91,37.4,119.07,4441
1267.73,7.0,46.972248,3456.78,37.89,119.43,4400
1169.12,7.0,47.121652,3329.28,38.39,117.18,4380
1216.8,7.0,47.108333,3244.95,38.64,113.42,4449
1201.16,7.0,47.589111,2811.6,38.56,113.48,4631
995.46,6.5,47.996628,2989.35,38.8,114.86,4688
897.07,6.5,47.9843,3287.5,39.14,116.13,4604
887.42,6.5,47.9048,3262.33,38.89,116.75,4576
925.63,6.5,48.271182,3311.03,38.72,120.24,4693
972.86,6.5,48.664774,3562.31,38.64,119.16,4901
1152.2,6.5,48.7337,3469.35,38.8,118.62,4920
1244.02,6.5,48.908614,3338.16,38.89,115.19,5041
1257.83,6.5,49.00224,3125.73,39.14,111.81,5226
1199.06,6.5,48.963447,3244.7,39.47,106.11,5313
1255.67,6.5,48.787774,2987.65,39.88,107.41,5188
1301.25,6.5,48.603228,3181.23,40.13,106.98,5129
1369.92,6.5,48.44445,2991.36,40.21,106.87,5239
1331.61,6.5,48.362591,2949.32,40.38,106.64,5210
1184.18,6.25,48.251105,3228.82,40.55,106.41,5243
1342.56,6.25,48.176333,3377.28,40.13,101.85,5444
1473.85,6.25,47.937694,3250.38,40.05,99.91,5752
1569.55,6.25,47.740106,3283.66,40.13,99.71,5771
1446.38,6.25,47.6645,3048.72,40.38,99.06,5433
1210.97,6.25,47.403571,2959.79,40.88,97.19,5192
1226.99,6.0,47.098325,3180.75,40.96,93.27,5561
1304.45,6.0,46.74645,3607.13,41.21,94.73,5509
1321.85,6.0,46.245625,3792.61,41.54,96.89,5363
1363.37,6.0,45.943763,4244.73,41.38,98.1,5462
1232.46,6.0,45.846923,4453.24,41.38,92.85,5718
1316.78,6.0,45.385,4906.87,41.71,92.73,5695
1325.54,6.0,45.486158,5044.82,41.79,90.21,5850
1366.36,6.0,45.564722,5838.96,41.62,86.92,6094
1425.74,6.0,45.432223,5695.67,41.79,87.2,6179
1418.36,6.0,45.235938,5667.51,41.79,87.31,6018
1515.65,6.0,45.05465,5590.6,41.79,87.61,5986
1480.99,6.0,43.820866,5655.09,41.79,90.48,5916
1699.29,6.0,45.123948,4759.62,42.12,88.95,5736
1617.64,6.0,45.4705,4795.46,42.45,88.8,5862
1744.59,6.0,45.9965,5170.32,42.87,89.96,6059
1950.09,6.0,46.304,5192.08,43.28,88.94,6126
1917.68,6.0,45.860485,5583.61,43.37,87.36,6170
2146.34,6.0,43.929104,5672.27,43.61,84.91,6361
1900.58,6.0,45.110681,6234.29,43.53,81.82,6551
1717.0,6.0,43.760714,6602.69,43.2,80.85,6445
1880.23,6.0,43.735192,6555.94,43.61,83.6,6149
1957.6,6.0,43.6175,6713.86,43.53,82.51,6108
2225.57,6.0,43.638871,6492.82,43.53,84.06,6262
2215.05,6.0,43.696167,6154.44,43.86,84.43,6151
2080.2,6.0,43.452903,6715.11,43.7,87.76,6030
2348.85,6.0,43.557322,7193.85,43.86,89.11,6134
2454.2,6.0,43.490185,7635.42,44.61,89.35,6058
2700.01,6.0,41.960666,7805.43,44.77,87.58,6249
2709.21,6.0,43.876667,8634.48,44.94,89.52,6535
2608.22,6.0,44.729667,7892.32,45.44,90.07,6874
2516.77,6.0,45.629655,8788.81,45.85,91.57,7168
2576.49,6.0,45.694401,9397.93,45.6,91.17,7586
2773.13,6.0,44.351481,9919.89,45.52,88.96,7925
2646.56,6.0,44.254711,10370.24,45.52,90.11,8038
2709.89,6.0,44.370555,11279.96,45.52,89.73,8059
3055.21,6.0,44.801205,12042.56,45.9,86.11,8985
3118.7,6.0,45.253648,10398.61,46.29,84.72,9969
3145.13,6.0,45.893571,10609.25,47.05,85.22,8952
3365.75,6.0,46.384958,10743.88,47.43,85.3,9559
3341.97,6.0,46.491078,11699.05,47.43,85.05,9469
2865.03,6.0,46.119517,12454.42,47.82,85.97,8998
2633.08,6.0,45.438276,12961.9,48.58,85.32,8695
2607.99,6.0,44.811532,13696.31,48.58,82.92,9140
2722.26,6.0,44.6325,13786.91,48.58,83.72,9133
2373.05,6.0,44.30621,14090.92,48.58,84.61,9069
2541.99,6.0,44.123729,12938.09,48.96,83.57,9545
2667.95,6.0,44.014345,13072.1,48.58,82.93,9370
2742.35,6.0,42.276562,13872.37,48.96,81.45,9321
2658.01,6.0,40.870669,14544.46,49.35,82.3,8878
2779.56,6.0,40.753571,14650.51,49.73,81.92,8707
2974.64,6.0,40.420952,15550.99,50.49,80.77,8741
2862.54,6.0,40.843125,15318.6,50.88,80.79,8836
3096.5,6.0,40.388438,17291.1,50.88,77.72,9311
3238.9,6.0,39.548261,19837.99,51.26,76.48,9691
3602.45,6.0,39.439205,19363.19,51.26,76.15,10340
3530.67,6.0,39.465375,20286.99,51.26,76.69,10311
3570.71,6.0,39.366685,17648.71,51.26,75.18,11291
3710.34,6.0,39.720893,17578.72,51.64,73.71,11888
4109.92,6.0,40.340833,15644.44,52.41,71.8,12632
4353.72,6.0,40.02689,17287.31,52.79,72.51,11810
5165.85,6.0,42.047174,16415.57,53.17,72.88,12143
5631.69,6.0,42.842487,13461.6,53.55,72.46,12353
5689.98,6.0,43.001054,14355.75,54.7,73.23,13028
4919.52,6.0,43.108455,14564.53,55.47,77.38,11861
4540.91,6.0,45.544457,12860.43,55.85,79.45,12220
3535.8,6.0,50.055371,9788.06,56.61,85.63,12691
2644.71,6.0,49.84275,9092.72,56.61,86.52,12143
2010.86,6.0,49.906565,9647.31,56.23,81.15,12923
2142.12,6.0,49.043306,9424.24,56.61,85.83,13473
2059.46,6.0,49.179551,8891.61,56.61,88.17,14800
2391.75,6.0,51.113321,9708.5,56.61,85.51,15232
2517.58,6.0,50.03327,11403.25,57.38,84.82,14475
2822.25,6.0,48.605316,14625.25,57.76,79.23,14621
3303.55,6.0,47.671474,14493.84,58.53,80.16,14639
3137.0,6.0,48.398962,15670.31,61.2,78.35,14720
3461.09,6.0,48.271903,15666.64,61.97,78.17,14952
3310.8,6.0,48.3977,17126.84,62.35,76.65,15723
3461.1,6.0,46.705242,15896.28,63.12,76.3,15882
3611.43,6.0,46.569183,16926.22,64.27,74.78,17057
3491.65,6.0,46.532468,17464.81,64.65,77.86,17159
3541.88,6.0,45.981774,16357.96,65.8,79.46,16706
3463.32,6.0,46.3145,16429.55,65.03,80.36,16525
3607.99,6.0,45.46429,17527.77,65.03,81.07,16614
3745.92,6.0,44.4562,17558.71,65.03,81.87,16693
3461.17,6.0,45.669935,16944.63,65.8,86.59,18024
3479.77,6.0,46.4813,17700.9,66.56,86.02,18745
3495.72,6.0,46.719452,17868.29,68.09,81.54,18270
3531.14,6.0,46.491516,17971.12,68.09,83.2,18457
3504.32,6.0,46.007067,20069.12,68.47,78.72,19056
3629.8,6.0,44.359613,20032.34,69.24,77.27,19474
3793.46,6.0,44.8883,19521.25,69.62,81.19,20140
4065.66,6.0,45.096839,20509.09,70.77,79.03,20506
4206.66,6.0,45.326452,18327.76,71.92,77.73,20204
4450.5,6.0,45.400643,17823.4,70.77,76.89,20321
4888.11,6.0,44.903345,19445.22,70.77,75.86,20835
5159.4,6.0,44.295267,19135.96,71.15,72.93,21470
4851.8,6.0,44.834903,18503.28,71.53,74.64,22130
4747.57,6.0,44.818533,18845.87,72.3,74.3,22214
4793.3,6.0,44.394613,18197.2,73.83,73.9,22627
4550.04,6.0,45.2939,16676.75,74.21,74.12,25878
4811.93,6.0,47.29188,16453.76,75.36,78.55,27487
4916.61,6.0,49.178077,17705.01,75.74,76.17,26668
5343.29,6.0,50.574833,16123.46,76.12,78.38,28563
5486.72,6.0,52.333333,15454.92,75.36,80.18,28063
5484.92,6.0,51.234633,17193.55,75.74,79.29,27598
5540.26,9.5,49.151346,17752.68,76.12,78.74,28119
5927.55,9.5,50.207433,17404.2,76.89,79.0,27854
5888.49,9.0,51.5655,17318.81,78.42,78.78,28563
5655.94,9.0,54.350864,16218.53,78.8,83.04,28831
5083.6,9.0,55.977269,17429.98,79.57,81.63,29819
5372.19,9.0,55.352806,17236.18,81.1,82.64,29468
5848.75,9.0,55.513323,17429.56,81.86,81.21,30180
5798.48,9.0,54.489467,18762.74,82.24,79.94,31673
5476.43,9.0,53.03271,18505.38,83.01,79.92,31056
5536.01,9.0,54.7929,19339.9,83.39,80.15,31548
5526.62,9.0,54.621371,19426.71,83.77,79.77,30833
5708.32,9.0,54.314581,19894.98,84.54,79.21,30520
5784.94,8.75,53.8065,18861.54,85.3,81.95,29963
5575.84,8.5,54.418984,18835.77,85.69,83.22,29514
5375.04,8.5,54.361967,19504.18,86.45,81.75,27743
5468.66,8.25,54.881226,19760.3,87.22,83.26,26769
5817.69,8.25,58.179167,19395.81,88.36,83.14,27178
6292.38,10.25,59.699774,19345.7,89.89,81.45,26928
6836.67,10.25,62.618742,18619.72,90.66,82.09,30216
6926.83,9.5,63.801724,19379.77,91.04,80.22,30473
6497.77,8.75,61.485081,21164.52,92.19,80.19,30710
6435.78,8.75,62.5894,20791.93,92.96,80.68,30740
6534.28,8.75,61.863581,21170.68,91.42,80.03,29904
6344.0,9.0,62.074613,20513.85,90.66,81.31,29582
6529.28,9.0,62.180696,21120.12,91.04,79.69,30211
6343.0,9.0,60.997097,22386.27,91.42,80.1,29832
6329.6,9.0,60.330117,22417.8,92.57,79.47,29329
6273.13,9.0,59.308661,24217.34,93.34,80.37,28738
6471.05,9.0,59.696,25413.78,94.1,79.78,27427
6320.51,9.0,60.044177,25894.97,96.4,81.46,28008
6092.56,9.0,60.8698,26638.11,96.78,82.75,28080
5835.69,9.0,60.84225,26630.51,96.78,85.94,26963
5280.84,9.0,61.337677,27865.83,96.78,86.92,26991
4748.53,9.0,61.662467,28693.99,96.78,88.36,26115
3806.55,9.0,62.797565,27499.42,96.78,90.27,26678
2927.2,8.75,62.081804,29182.95,97.16,94.8,27403
3398.51,8.75,62.017482,29361.5,96.78,95.32,27075
3299.23,8.5,62.48471,27957.49,97.16,98.36,26168
3611.03,8.5,62.614983,27011.31,97.93,94.6,26683
3988.78,8.5,63.656613,27828.44,98.69,96.91,27093
3915.3,8.25,63.780567,27780.83,99.84,95.48,26646
3458.51,8.25,63.600032,28114.56,100.61,97.34,25539
2973.16,8.25,65.025677,26283.09,100.99,95.82,25729
3064.43,8.25,66.237433,26154.83,101.75,96.35,26246
3055.95,7.75,65.019758,26656.83,102.9,96.95,26577
2847.43,7.75,66.127917,26145.67,103.28,100.17,25648
2435.4,7.75,66.505016,26117.54,102.9,98.63,25207
2004.0,7.75,67.2355,24870.69,102.9,99.61,25998
2117.58,7.75,68.255069,23002.0,102.14,98.21,28252
2503.95,7.75,66.925113,25341.86,102.52,94.59,28794
2708.63,7.0,66.463133,25606.62,103.67,93.08,28818
3072.75,7.0,66.905161,26667.96,105.2,95.89,29639
3208.66,7.0,67.24605,26999.72,105.96,96.14,29745
2966.28,7.0,67.161258,28051.86,107.11,95.53,30942
3004.16,7.0,66.935513,28452.17,106.34,96.02,31270
3006.05,7.0,66.763683,27865.96,105.96,95.46,31178
3290.46,6.75,66.728455,27930.21,106.34,98.44,30071
3056.29,6.75,67.73135,26652.81,105.96,101.5,29796
3572.84,6.75,67.81351,26626.46,105.2,102.21,27754
3649.89,6.75,68.067231,27655.96,104.81,99.51,28746
3647.03,6.75,66.968905,28743.32,104.81,101.12,29265
3355.09,6.75,65.873348,29620.5,105.2,100.35,28758
3365.04,6.5,64.530959,29918.4,105.96,99.05,29010
3213.83,6.5,64.421517,31145.8,106.34,96.92,28471
